preco,quartos,banheiros,area_construida_m2,andares,vista_agua,qualidade_vista,padrao_construcao,area_porao_m2,latitude,area_construida_vizinhos_m2,idade_imovel,proporcao_vizinhanca,densidade_banheiros
231300.0,2,1.0,109.62569339145264,1.0,0,0,7,0.0,47.5112,124.49019419029364,59,0.8805970149253735,0.5
538000.0,3,2.25,238.7610440813841,2.0,0,0,7,37.16125199710258,47.721,157.00628968775845,63,1.5207100591715974,0.75
180000.0,2,1.0,71.53541009442247,1.0,0,0,6,0.0,47.7379,252.6965135802976,82,0.2830882352941176,0.5
604000.0,4,3.0,182.09013478580263,1.0,0,0,7,84.54184829340838,47.5208,126.34825679014878,49,1.441176470588235,0.75
510000.0,3,2.0,156.07725838783085,1.0,0,0,8,0.0,47.6168,167.22563398696164,28,0.9333333333333332,0.6666666666666666
1225000.0,4,4.5,503.53496456074,1.0,0,0,11,142.14178888891738,47.6561,442.2188987655208,13,1.1386554621848737,1.125
257500.0,3,2.25,159.32886793757731,2.0,0,0,7,0.0,47.3097,207.9172049237889,19,0.7663092046470064,0.75
291850.0,3,1.5,98.47731779232184,1.0,0,0,7,0.0,47.4095,153.29016448804816,52,0.6424242424242423,0.5
229500.0,3,1.0,165.3675713871065,1.0,0,0,7,67.81928489471221,47.5123,165.3675713871065,55,1.0,0.3333333333333333
323000.0,3,2.5,175.5869156863097,2.0,0,0,7,0.0,47.3684,222.03848068268795,12,0.7907949790794979,0.8333333333333334
662500.0,3,2.5,330.735142774213,1.0,0,0,8,157.93532098768597,47.6007,205.31591728399172,50,1.6108597285067874,0.8333333333333334
468000.0,2,1.0,107.7676307915975,1.0,0,0,7,27.870938997826936,47.69,123.56116289036608,72,0.8721804511278197,0.5
310000.0,3,1.0,132.85147588964173,1.5,0,0,7,0.0,47.7558,165.3675713871065,87,0.8033707865168539,0.3333333333333333
400000.0,3,1.75,127.27728809007635,1.0,0,0,7,0.0,47.6127,127.27728809007635,37,1.0,0.5833333333333334
530000.0,5,2.0,168.15466528688918,1.5,0,0,7,0.0,47.67,126.34825679014878,115,1.3308823529411764,0.4
650000.0,4,3.0,274.06423347863154,2.0,0,3,9,90.11603609297376,47.5714,198.81269818449883,36,1.378504672897196,0.75
395000.0,3,2.0,175.5869156863097,2.0,0,0,7,0.0,47.7277,175.5869156863097,20,1.0,0.6666666666666666
485000.0,4,1.0,148.64500798841033,1.5,0,0,7,0.0,47.6648,149.5740392883379,98,0.9937888198757764,0.25
189000.0,2,1.0,111.48375599130776,1.0,0,0,7,0.0,47.3089,98.47731779232184,93,1.1320754716981134,0.5
230000.0,3,1.0,116.12891249094558,1.0,0,0,7,0.0,47.3343,118.91600639072828,46,0.9765625,0.3333333333333333
385000.0,4,1.75,150.50307058826547,1.0,0,0,7,70.60637879449492,47.7025,130.06438198985904,67,1.1571428571428573,0.4375
2000000.0,3,2.75,283.3545464779072,1.0,0,4,9,66.89025359478465,47.5316,381.83186427022906,46,0.7420924574209246,0.9166666666666666
285000.0,5,2.5,210.8901050835572,2.0,0,0,8,0.0,47.3266,208.10301118377447,19,1.0133928571428572,0.5
252700.0,2,1.5,99.4063490922494,1.0,0,0,7,0.0,47.3533,113.34181859116288,29,0.8770491803278688,0.75
329000.0,3,2.25,227.61266848225333,2.0,0,0,8,0.0,47.3739,204.3868859840642,29,1.1136363636363638,0.75
233000.0,3,2.0,158.86435228761354,1.5,0,0,6,0.0,47.3048,95.69022389253917,73,1.6601941747572813,0.6666666666666666
937000.0,3,1.75,227.61266848225333,2.0,0,0,8,65.03219099492952,47.6386,163.50950878725138,99,1.3920454545454546,0.5833333333333334
667000.0,3,1.0,130.06438198985904,1.5,0,0,8,0.0,47.6221,172.79982178652702,105,0.7526881720430108,0.3333333333333333
438000.0,3,1.75,141.21275758898983,1.0,0,0,7,67.81928489471221,47.695,141.21275758898983,66,1.0,0.5833333333333334
719000.0,4,2.5,238.7610440813841,2.0,0,0,8,0.0,47.7073,244.3352318809495,10,0.9771863117870724,0.625
580500.0,3,2.5,215.535261583195,2.0,0,0,8,0.0,47.5391,239.6900753813117,11,0.8992248062015503,0.8333333333333334
280000.0,2,1.5,110.5547246913802,3.0,0,0,7,0.0,47.7274,129.13535068993147,9,0.8561151079136692,0.75
687500.0,4,1.75,216.4642928831225,1.5,0,0,7,76.1805665940603,47.6823,135.63856978942442,85,1.5958904109589038,0.4375
535000.0,3,1.0,101.26441169210456,1.5,0,0,8,0.0,47.6889,145.85791408862764,85,0.6942675159235671,0.3333333333333333
322500.0,4,2.75,191.3804477850783,1.0,0,0,7,72.46444139435003,47.4276,187.66432258536804,33,1.0198019801980198,0.6875
696000.0,3,2.5,213.67719898333985,1.5,0,0,8,73.3934726942776,47.6827,147.71597668848278,84,1.4465408805031446,0.8333333333333334
550000.0,4,1.0,154.21919578797574,1.0,0,0,5,67.81928489471221,47.6621,200.670760784354,81,0.7685185185185185,0.25
640000.0,4,2.0,219.25138678290529,2.0,0,0,8,0.0,47.6702,160.7224148874687,110,1.3641618497109829,0.5
240000.0,4,1.0,113.34181859116288,1.0,0,0,7,30.65803289760964,47.3341,119.84503769065584,46,0.945736434108527,0.25
605000.0,4,2.5,243.40620058102192,2.0,0,0,8,0.0,47.5301,243.40620058102192,18,1.0,0.625
625000.0,4,2.5,238.7610440813841,2.0,0,0,9,0.0,47.6145,229.47073108210844,14,1.0404858299595143,0.625
775000.0,4,2.25,392.0512085694323,1.0,0,0,8,150.50307058826547,47.445,223.89654328254304,30,1.7510373443983405,0.5625
861990.0,5,2.75,333.9867523239595,2.0,0,0,9,0.0,47.6848,336.77384622374217,0,0.9917241379310344,0.55
685000.0,3,1.0,145.85791408862764,2.0,0,0,7,0.0,47.6413,146.7869453885552,92,0.9936708860759492,0.3333333333333333
309000.0,3,1.0,118.91600639072828,1.0,0,0,6,33.44512679739233,47.4485,124.49019419029364,55,0.9552238805970152,0.3333333333333333
488000.0,3,2.5,293.5738907771104,2.0,0,0,8,0.0,47.7443,283.3545464779072,11,1.0360655737704918,0.8333333333333334
210490.0,3,1.0,91.97409869282887,1.0,0,0,6,0.0,47.3066,114.08504363110494,49,0.806188925081433,0.3333333333333333
785000.0,4,2.5,212.7481676834123,2.0,0,0,9,0.0,47.6194,248.9803883805873,33,0.8544776119402986,0.625
450000.0,3,1.75,116.12891249094558,1.0,0,0,7,0.0,47.6796,90.11603609297376,62,1.288659793814433,0.5833333333333334
1350000.0,3,2.5,255.76231687005853,1.0,1,2,9,54.6270404357408,47.4041,248.9803883805873,62,1.0272388059701494,0.8333333333333334
228000.0,3,1.0,110.5547246913802,1.0,0,0,7,0.0,47.4258,110.5547246913802,59,1.0,0.3333333333333333
345000.0,5,2.5,292.6448594771828,1.0,0,0,8,140.28372628906226,47.4934,184.8772286855853,49,1.5829145728643217,0.5
600000.0,3,1.75,130.99341328978662,1.0,0,0,7,38.09028329703015,47.6808,130.99341328978662,64,1.0,0.5833333333333334
585000.0,2,1.75,183.94819738565772,1.0,0,0,7,91.97409869282887,47.6989,137.49663238927957,34,1.3378378378378375,0.875
920000.0,5,2.25,253.6255448802252,1.5,0,0,8,55.74187799565387,47.6571,253.6255448802252,88,1.0,0.45
885000.0,4,2.5,262.9158578795008,2.0,0,0,9,0.0,47.6597,181.1611034858751,19,1.4512820512820512,0.625
292500.0,4,2.5,209.03204248370204,2.0,0,0,7,0.0,47.3663,209.03204248370204,6,1.0,0.625
301000.0,3,2.5,224.82557458247064,2.0,0,0,8,0.0,47.3663,249.90941968051487,12,0.8996282527881041,0.8333333333333334
951000.0,5,3.25,301.9351724764585,2.0,0,4,8,0.0,47.588,274.99326477855914,46,1.0979729729729728,0.65
430000.0,4,3.0,171.87079048659945,2.0,0,0,8,0.0,47.5059,210.8901050835572,24,0.8149779735682818,0.75
650000.0,3,2.25,199.7417294844264,1.0,0,3,8,52.02575279594362,47.4336,238.7610440813841,55,0.8365758754863813,0.75
289000.0,3,1.75,117.05794379087314,1.0,0,0,7,0.0,47.4366,119.84503769065584,60,0.9767441860465116,0.5833333333333334
505000.0,3,1.75,234.0229844517536,2.0,0,0,8,0.0,47.4428,232.2578249818912,41,1.0076,0.5833333333333334
549000.0,3,1.75,143.07082018884495,3.0,0,0,8,0.0,47.6765,146.7869453885552,0,0.9746835443037974,0.5833333333333334
425000.0,3,2.25,154.21919578797574,1.0,0,0,7,51.09672149601605,47.6113,133.7805071895693,35,1.152777777777778,0.75
317625.0,3,2.75,257.3416700799354,1.5,0,0,7,92.90312999275646,47.5747,133.7805071895693,89,1.9236111111111112,0.9166666666666666
975000.0,4,2.5,252.6965135802976,2.0,0,0,10,0.0,47.5815,255.48360748008025,25,0.9890909090909092,0.625
287000.0,4,2.5,208.10301118377447,2.0,0,0,7,0.0,47.3378,206.3378517139121,9,1.0085547050877983,0.625
204000.0,3,1.0,92.90312999275646,1.0,0,0,7,0.0,47.3621,93.83216129268402,46,0.9900990099009902,0.3333333333333333
